,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
4,303.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
5,303.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
6,303.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
7,303.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
8,303.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
9,456.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
10,456.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
11,456.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
12,456.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
13,456.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
14,676.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
15,676.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
16,676.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
17,676.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
18,676.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
19,962.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
20,962.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
21,962.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
22,962.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
23,962.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
24,1376.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
25,1376.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
26,1376.0,26,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
27,1376.0,27,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
28,1376.0,28,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
29,1860.0,29,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
30,1860.0,30,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
31,1860.0,31,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
32,1860.0,32,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
33,1860.0,33,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
34,2472.0,34,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
35,2472.0,35,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
36,2472.0,36,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
37,2472.0,37,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.025,13,4061.310697555542,1
