,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
4,320.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
5,320.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
6,320.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
7,320.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
8,320.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
9,453.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
10,453.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
11,453.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
12,453.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
13,453.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
14,655.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
15,655.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
16,655.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
17,655.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
18,655.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
19,937.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
20,937.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
21,937.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
22,937.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
23,937.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
24,1313.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
25,1313.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
26,1313.0,26,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
27,1313.0,27,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
28,1313.0,28,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
29,1773.0,29,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
30,1773.0,30,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
31,1773.0,31,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
32,1773.0,32,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
33,1773.0,33,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
34,2366.0,34,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
35,2366.0,35,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
36,2366.0,36,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
37,2366.0,37,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
38,2366.0,38,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
39,3064.0,39,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
40,3064.0,40,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
41,3064.0,41,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
42,3064.0,42,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
43,3064.0,43,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
44,3874.0,44,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
45,3874.0,45,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
46,3874.0,46,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
47,3874.0,47,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
48,3874.0,48,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,4,3016.5188727378845,1
49,4726.0,49,20.0,1.0,-1.0,0.0,3.0,0.0,-0.75,0.025,4,3016.5188727378845,1
50,4726.0,50,20.0,2.0,-1.0,0.0,3.4,0.0,-0.75,0.025,4,3016.5188727378845,1
51,4726.0,51,20.0,3.0,-1.0,0.0,3.6,0.0,-0.75,0.025,4,3016.5188727378845,1
52,4726.0,52,20.0,4.0,-1.0,0.0,3.6,0.0,-0.75,0.025,4,3016.5188727378845,1
53,4726.0,53,34.0,2.9411764705882355,-1.0,0.7,2.0,0.0,-0.75,0.025,4,3016.5188727378845,1
54,5672.0,54,33.0,3.878787878787879,-1.0,0.0,3.878787878787879,0.029411764705882356,-0.75,0.025,4,3016.5188727378845,1
55,5672.0,55,35.0,4.6,-1.0,0.060606060606060615,3.6571428571428566,0.0,-0.75,0.025,4,3016.5188727378845,1
56,5683.0,56,35.0,5.6,-1.0,0.0,4.0,0.0,-0.75,0.025,4,3016.5188727378845,1
57,5683.0,57,36.0,6.416666666666668,-1.0,0.028571428571428567,3.888888888888889,0.0,-0.75,0.025,4,3016.5188727378845,1
58,5685.0,58,64.0,4.171875,-1.0,0.7777777777777778,2.25,0.0,-0.75,0.025,4,3016.5188727378845,1
59,6674.0,59,65.0,5.092307692307692,-1.0,0.015625,3.9384615384615382,0.0,-0.75,0.025,4,3016.5188727378845,1
60,6675.0,60,69.0,5.7391304347826075,-1.0,0.061538461538461535,3.768115942028986,0.0,-0.75,0.025,4,3016.5188727378845,1
61,6697.0,61,69.0,6.7391304347826075,-1.0,0.0,4.0,0.0,-0.75,0.025,4,3016.5188727378845,1
62,6697.0,62,71.0,7.521126760563379,-1.0,0.028985507246376805,3.8873239436619715,0.0,-0.75,0.025,4,3016.5188727378845,1
63,6706.0,63,128.0,4.7265625,-1.0,0.8028169014084507,2.21875,0.0,-0.75,0.025,4,3016.5188727378845,1
64,7627.0,64,130.0,5.638461538461539,-1.0,0.015625,3.9384615384615382,0.0,-0.75,0.025,4,3016.5188727378845,1
65,7628.0,65,138.0,6.253623188405798,-1.0,0.061538461538461535,3.739130434782609,0.0,-0.75,0.025,4,3016.5188727378845,1
66,7661.0,66,138.0,7.253623188405798,-1.0,0.0,4.0,0.0,-0.75,0.025,4,3016.5188727378845,1
67,7662.0,67,142.0,8.02112676056338,-1.0,0.028985507246376805,3.8873239436619715,0.0,-0.75,0.025,4,3016.5188727378845,1
68,7671.0,68,254.0,5.043307086614173,-1.0,0.7887323943661971,2.220472440944882,0.0,-0.75,0.025,4,3016.5188727378845,1
69,8565.0,69,258.0,5.949612403100775,-1.0,0.015748031496062992,3.9379844961240313,0.0,-0.75,0.025,4,3016.5188727378845,1
70,8567.0,70,276.0,6.496376811594202,-1.0,0.06976744186046513,3.739130434782609,0.0,-0.75,0.025,4,3016.5188727378845,1
71,8597.0,71,276.0,7.496376811594202,-1.0,0.0,4.0,0.0,-0.75,0.025,4,3016.5188727378845,1
72,8595.0,72,284.0,8.257042253521126,-1.0,0.028985507246376805,3.8873239436619715,0.0,-0.75,0.025,4,3016.5188727378845,1
73,8606.0,73,507.0,5.185404339250493,-1.0,0.7852112676056338,2.232741617357002,0.0,-0.75,0.025,4,3016.5188727378845,1
74,9371.0,74,515.0,6.089320388349514,-1.0,0.015779092702169626,3.937864077669903,0.0,-0.75,0.025,4,3016.5188727378845,1
75,9375.0,75,552.0,6.6141304347826075,-1.0,0.07184466019417475,3.731884057971015,0.0,-0.75,0.025,4,3016.5188727378845,1
76,9412.0,76,552.0,7.6141304347826075,-1.0,0.0,3.9927536231884058,0.0,-0.75,0.025,4,3016.5188727378845,1
77,9410.0,77,568.0,8.371478873239436,-1.0,0.028985507246376805,3.880281690140845,0.0,-0.75,0.025,4,3016.5188727378845,1
78,9430.0,78,1014.0,5.2495069033530575,-1.0,0.7852112676056338,2.2406311637080867,0.0,-0.75,0.025,4,3016.5188727378845,1
79,10132.0,79,1030.0,6.15242718446602,-1.0,0.015779092702169626,3.9339805825242724,0.0,-0.75,0.025,4,3016.5188727378845,1
