,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
4,311.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
5,311.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
6,311.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
7,311.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
8,311.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
9,479.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
10,479.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
11,479.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
12,479.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
13,479.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
14,696.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
15,696.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
16,696.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
17,696.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
18,696.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
19,986.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
20,986.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
21,986.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
22,986.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
23,986.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
24,1368.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
25,1368.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
26,1368.0,26,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
27,1368.0,27,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
28,1368.0,28,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
29,1890.0,29,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
30,1890.0,30,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
31,1890.0,31,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
32,1890.0,32,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
33,1890.0,33,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
34,2497.0,34,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
35,2497.0,35,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
36,2497.0,36,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
37,2497.0,37,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
38,2497.0,38,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
39,3190.0,39,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
40,3190.0,40,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
41,3190.0,41,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
42,3190.0,42,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
43,3190.0,43,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
44,4049.0,44,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
45,4049.0,45,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
46,4049.0,46,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
47,4049.0,47,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
48,4049.0,48,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,10,3301.425995826721,1
49,4956.0,49,20.0,1.0,-1.0,0.0,3.4,0.0,-1.0,0.025,10,3301.425995826721,1
50,4956.0,50,20.0,2.0,-1.0,0.0,3.8,0.0,-1.0,0.025,10,3301.425995826721,1
51,4957.0,51,20.0,3.0,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
52,4957.0,52,20.0,4.0,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
53,4957.0,53,36.0,2.7777777777777777,-1.0,0.8,2.1111111111111107,0.0,-1.0,0.025,10,3301.425995826721,1
54,5913.0,54,36.0,3.7777777777777777,-1.0,0.0,3.888888888888889,0.0,-1.0,0.025,10,3301.425995826721,1
55,5913.0,55,39.0,4.410256410256411,-1.0,0.08333333333333333,3.58974358974359,0.0,-1.0,0.025,10,3301.425995826721,1
56,5925.0,56,39.0,5.410256410256411,-1.0,0.0,3.897435897435898,0.0,-1.0,0.025,10,3301.425995826721,1
57,5925.0,57,39.0,6.410256410256411,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
58,5927.0,58,70.0,4.128571428571429,-1.0,0.7948717948717948,2.2285714285714286,0.0,-1.0,0.025,10,3301.425995826721,1
59,6892.0,59,70.0,5.128571428571429,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
60,6892.0,60,77.0,5.571428571428571,-1.0,0.1,3.636363636363636,0.0,-1.0,0.025,10,3301.425995826721,1
61,6920.0,61,78.0,6.487179487179486,-1.0,0.012987012987012988,3.948717948717949,0.0,-1.0,0.025,10,3301.425995826721,1
62,6920.0,62,78.0,7.487179487179486,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
63,6928.0,63,140.0,4.728571428571429,-1.0,0.7948717948717948,2.2285714285714286,0.0,-1.0,0.025,10,3301.425995826721,1
64,7836.0,64,140.0,5.7285714285714295,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
65,7836.0,65,154.0,6.116883116883117,-1.0,0.1,3.636363636363636,0.0,-1.0,0.025,10,3301.425995826721,1
66,7868.0,66,156.0,7.0256410256410255,-1.0,0.012987012987012988,3.948717948717949,0.0,-1.0,0.025,10,3301.425995826721,1
67,7868.0,67,156.0,8.025641025641027,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
68,7882.0,68,280.0,5.0285714285714285,-1.0,0.7948717948717948,2.2285714285714286,0.0,-1.0,0.025,10,3301.425995826721,1
69,8788.0,69,280.0,6.0285714285714285,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
70,8792.0,70,308.0,6.3896103896103895,-1.0,0.1,3.636363636363636,0.0,-1.0,0.025,10,3301.425995826721,1
71,8829.0,71,312.0,7.294871794871796,-1.0,0.012987012987012988,3.948717948717949,0.0,-1.0,0.025,10,3301.425995826721,1
72,8830.0,72,312.0,8.294871794871796,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
73,8840.0,73,560.0,5.178571428571429,-1.0,0.7948717948717948,2.2285714285714286,0.0,-1.0,0.025,10,3301.425995826721,1
74,9645.0,74,560.0,6.178571428571429,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
75,9646.0,75,616.0,6.525974025974027,-1.0,0.1,3.623376623376624,0.0,-1.0,0.025,10,3301.425995826721,1
76,9694.0,76,624.0,7.42948717948718,-1.0,0.012987012987012988,3.948717948717949,0.0,-1.0,0.025,10,3301.425995826721,1
77,9695.0,77,624.0,8.429487179487179,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
78,9721.0,78,1118.0,5.262969588550984,-1.0,0.7916666666666666,2.232558139534884,0.0,-1.0,0.025,10,3301.425995826721,1
79,10364.0,79,1118.0,6.262969588550984,-1.0,0.0,3.9892665474060816,0.0,-1.0,0.025,10,3301.425995826721,1
80,10364.0,80,1232.0,6.590909090909091,-1.0,0.10196779964221823,3.623376623376624,0.0,-1.0,0.025,10,3301.425995826721,1
81,10415.0,81,1248.0,7.4935897435897445,-1.0,0.012987012987012988,3.948717948717949,0.0,-1.0,0.025,10,3301.425995826721,1
82,10407.0,82,1248.0,8.493589743589743,-1.0,0.0,4.0,0.0,-1.0,0.025,10,3301.425995826721,1
83,10428.0,83,2227.0,5.320161652447238,-1.0,0.7844551282051282,2.2343960484957344,0.0,-1.0,0.025,10,3301.425995826721,1
84,10884.0,84,2227.0,6.320161652447236,-1.0,0.0,3.9946115850920516,0.0,-1.0,0.025,10,3301.425995826721,1
85,10845.0,85,2464.0,6.616071428571429,-1.0,0.10642119443197126,3.6079545454545454,0.0,-1.0,0.025,10,3301.425995826721,1
86,10843.0,86,2496.0,7.518429487179486,-1.0,0.012987012987012988,3.939102564102564,0.0,-1.0,0.025,10,3301.425995826721,1
87,10778.0,87,2496.0,8.518429487179487,-1.0,0.0,3.9791666666666665,0.0,-1.0,0.025,10,3301.425995826721,1
88,10748.0,88,4427.0,5.3666139597921845,-1.0,0.7736378205128205,2.248475265416761,0.0,-1.0,0.025,10,3301.425995826721,1
89,10822.0,89,4429.0,6.363738993000678,-1.0,0.00045177320984865596,3.967035448182434,0.0,-1.0,0.025,10,3301.425995826721,1
90,10515.0,90,4905.0,6.649133537206931,-1.0,0.1074734703093249,3.5535168195718656,0.0,-1.0,0.025,10,3301.425995826721,1
91,10182.0,91,4972.0,7.546057924376508,-1.0,0.01365953109072375,3.823813354786806,0.0,-1.0,0.025,10,3301.425995826721,1
92,9751.0,92,4980.0,8.532329317269076,-1.0,0.0016090104585679804,3.772690763052209,0.0,-1.0,0.025,10,3301.425995826721,1
93,9422.0,93,5000.0,7.3462,-1.0,0.5168674698795179,2.864,0.51285140562249,-1.0,0.025,10,3301.425995826721,1
