,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
4,293.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
5,293.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
6,293.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
7,293.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
8,293.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
9,414.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
10,414.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
11,414.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
12,414.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
13,414.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
14,613.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
15,613.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
16,613.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
17,613.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
18,613.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
19,891.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
20,891.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
21,891.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
22,891.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
23,891.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
24,1261.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
25,1261.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,6,3048.176316738129,1
