,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
4,318.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
5,318.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
6,318.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
7,318.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
8,318.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
9,469.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
10,469.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
11,469.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
12,469.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
13,469.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
14,694.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
15,694.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
16,694.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
17,694.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
18,694.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
19,981.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
20,981.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
21,981.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
22,981.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
23,981.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
24,1356.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
25,1356.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,-0.75,0.025,6,3027.120157957077,1
