,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
4,2429.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
5,2429.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
6,2429.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
7,2429.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
8,2429.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
9,3598.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
10,3598.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
11,3598.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
12,3598.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
13,3598.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
14,4910.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
15,4910.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
16,4910.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
17,4910.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
18,4910.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
19,6237.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
20,6237.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
21,6237.0,21,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
22,6237.0,22,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,12,2766.653382062912,1
