,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
4,2384.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
5,2384.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
6,2384.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
7,2384.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
8,2384.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
9,3527.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
10,3527.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
11,3527.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
12,3527.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
13,3527.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
14,4791.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
15,4791.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
16,4791.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
17,4791.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
18,4791.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
19,6079.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
20,6079.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
21,6079.0,21,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
22,6079.0,22,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
23,6079.0,23,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
24,7349.0,24,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
25,7349.0,25,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
26,7349.0,26,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
27,7349.0,27,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
28,7349.0,28,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
29,8506.0,29,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
30,8506.0,30,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
31,8506.0,31,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
32,8506.0,32,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
33,8506.0,33,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
34,9483.0,34,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
35,9483.0,35,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
36,9483.0,36,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
37,9483.0,37,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
38,9483.0,38,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
39,10324.0,39,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
40,10425.0,40,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
41,10425.0,41,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
42,10425.0,42,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
43,10425.0,43,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
44,11130.0,44,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
45,11130.0,45,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
46,11130.0,46,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
47,11130.0,47,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
48,11130.0,48,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
49,11757.0,49,50.0,1.0,0.04895609334829848,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
50,11757.0,50,50.0,2.0,0.04895609334829843,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
51,11757.0,51,50.0,3.0,0.04895609334829845,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
52,11758.0,52,50.0,4.0,0.048956093348298466,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
53,11758.0,53,50.0,5.0,0.04895609334829845,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
54,12297.0,54,100.0,3.0,0.02447804667414924,-1,1.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
55,12295.0,55,100.0,4.0,0.0479732011300396,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
56,12295.0,56,100.0,5.0,0.04797320113003959,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
57,12302.0,57,100.0,6.0,0.04797320113003958,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
58,12302.0,58,100.0,7.0,0.04797320113003959,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
59,12779.0,59,150.0,5.333333333333333,0.031982134086693065,-1,0.5,0.0,0.0,10.0,0.025,2,2950.215013742447,1
60,12777.0,60,200.0,4.75,0.03632403080194693,-1,0.3333333333333333,0.0,0.0,10.0,0.025,2,2950.215013742447,1
61,12776.0,61,200.0,5.75,0.046681900239905295,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
62,12788.0,62,200.0,6.75,0.04668190023990525,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
63,12788.0,63,200.0,7.75,0.04668190023990524,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
64,13125.0,64,300.0,5.833333333333332,0.03112126682660352,-1,0.5,0.0,0.0,10.0,0.025,2,2950.215013742447,1
65,13123.0,65,400.0,5.125,0.03561874288130381,-1,0.3333333333333333,0.0,0.0,10.0,0.025,2,2950.215013742447,1
66,13122.0,66,400.0,6.125,0.04736344715836864,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
67,13132.0,67,400.0,7.125,0.047363447158368606,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
68,13129.0,68,400.0,8.125,0.04736344715836864,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
69,13411.0,69,550.0,6.636363636363638,0.034446143387904464,-1,0.375,0.0,0.0,10.0,0.025,2,2950.215013742447,1
70,13398.0,70,800.0,5.25,0.03296170242434162,-1,0.4545454545454545,0.0,0.0,10.0,0.025,2,2950.215013742447,1
71,13390.0,71,800.0,6.25,0.04692939091724905,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
72,13409.0,72,800.0,7.25,0.046929390917249035,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
73,13398.0,73,800.0,8.25,0.04692939091724911,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
74,13608.0,74,1050.0,7.047619047619048,0.035755726413142175,-1,0.3125,0.0,0.0,10.0,0.025,2,2950.215013742447,1
75,13577.0,75,1500.0,5.633333333333334,0.03351249801818812,-1,0.42857142857142855,0.0,0.0,10.0,0.025,2,2950.215013742447,1
76,13541.0,76,1600.0,6.21875,0.04433345697405877,-1,0.06666666666666668,0.0,0.0,10.0,0.025,2,2950.215013742447,1
77,13540.0,77,1600.0,7.21875,0.046955093924839236,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
78,13507.0,78,1600.0,8.21875,0.04695509392483934,-1,0.0,0.0,0.0,10.0,0.025,2,2950.215013742447,1
79,13616.0,79,2000.0,7.375,0.03756407513987146,-1,0.25,0.0,0.0,10.0,0.025,2,2950.215013742447,1
80,13596.0,80,2900.0,5.775862068965517,0.032558946278916034,-1,0.45,0.0,0.0,10.0,0.025,2,2950.215013742447,1
