,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
4,2597.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
5,2597.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
6,2597.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
7,2597.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
8,2597.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
9,4095.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
10,4095.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
11,4095.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
12,4095.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
13,4095.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
14,5787.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
15,5787.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
16,5787.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
17,5787.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
18,5787.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
19,7557.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
20,7557.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
21,7557.0,21,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
22,7557.0,22,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
23,7557.0,23,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
24,9121.0,24,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
25,9121.0,25,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
26,9121.0,26,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
27,9121.0,27,0.0,0.0,0.0,-1,0.0,0.0,0.0,20.0,0.025,8,10576.681712627409,2
