,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
4,1772.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
5,1772.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
6,1772.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
7,1772.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
8,1772.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
9,2011.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
10,2011.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
11,2011.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
12,2011.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
13,2011.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
14,2226.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
15,2226.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
16,2226.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
17,2226.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
18,2226.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
19,2419.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
20,2419.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
21,2419.0,21,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
22,2419.0,22,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
23,2419.0,23,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
24,2586.0,24,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
25,2586.0,25,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
26,2586.0,26,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
27,2586.0,27,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
28,2586.0,28,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
29,2787.0,29,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
30,2787.0,30,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
31,2787.0,31,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
32,2787.0,32,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
33,2787.0,33,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
34,2958.0,34,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
35,2958.0,35,0.0,0.0,0.0,-1,0.0,0.0,0.0,2.0,0.025,19,1300.6816906929014,1
