,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
4,2396.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
5,2396.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
6,2396.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
7,2396.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
8,2396.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
9,3481.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
10,3481.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
11,3481.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
12,3481.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
13,3481.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
14,4689.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
15,4689.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
16,4689.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
17,4689.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
18,4689.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
19,6007.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
20,6007.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,10.0,0.025,17,3548.260556459427,3
