,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
4,2085.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
5,2085.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
6,2085.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
7,2085.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
8,2085.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
9,2703.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
10,2703.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
11,2703.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
12,2703.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
13,2703.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
14,3359.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
15,3359.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
16,3359.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
17,3359.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
18,3359.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
19,3954.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
20,3954.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
21,3954.0,21,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
22,3954.0,22,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
23,3954.0,23,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
24,4598.0,24,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
25,4598.0,25,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
26,4598.0,26,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
27,4598.0,27,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
28,4598.0,28,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
29,5202.0,29,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
30,5202.0,30,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
31,5202.0,31,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
32,5202.0,32,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
33,5202.0,33,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
34,5749.0,34,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
35,5749.0,35,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
36,5749.0,36,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
37,5749.0,37,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
38,5749.0,38,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
39,6283.0,39,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
40,6384.0,40,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
41,6384.0,41,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
42,6384.0,42,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
43,6384.0,43,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
44,6868.0,44,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
45,6868.0,45,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
46,6868.0,46,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
47,6868.0,47,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
48,6868.0,48,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
49,7310.0,49,50.0,1.0,-0.03823752393543554,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
50,7310.0,50,50.0,2.0,-0.03823752393543558,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
51,7310.0,51,50.0,3.0,-0.03823752393543557,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
52,7312.0,52,50.0,4.0,-0.03823752393543555,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
53,7312.0,53,50.0,5.0,-0.03823752393543558,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
54,7727.0,54,82.0,3.5853658536585367,-0.03313122376157535,-1,0.66,0.0,0.02,5.0,0.025,12,2259.506572008133,3
55,7727.0,55,82.0,4.585365853658536,-0.06855548866938654,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
56,7726.0,56,88.0,5.204545454545454,-0.06388125080556471,-1,0.07317073170731707,0.0,0.0,5.0,0.025,12,2259.506572008133,3
57,7741.0,57,88.0,6.204545454545454,-0.023624963812777976,-1,0.0,0.0,0.0,5.0,0.025,12,2259.506572008133,3
58,7741.0,58,90.0,6.933333333333334,-0.019500362842264304,-1,0.03409090909090909,0.0,0.011363636363636364,5.0,0.025,12,2259.506572008133,3
59,8141.0,59,123.0,5.804878048780488,-0.020075607582616586,-1,0.3666666666666665,0.0,0.0,5.0,0.025,12,2259.506572008133,3
60,8138.0,60,157.0,5.3312101910828025,-0.03469553484867089,-1,0.2764227642276423,0.0,0.0,5.0,0.025,12,2259.506572008133,3
61,8136.0,61,163.0,6.098159509202454,-0.04960907057766463,-1,0.03821656050955414,0.0,0.0,5.0,0.025,12,2259.506572008133,3
62,8159.0,62,171.0,6.766081871345029,-0.026850181930956615,-1,0.04907975460122701,0.0,0.0,5.0,0.025,12,2259.506572008133,3
63,8158.0,63,174.0,7.6321839080459775,-0.007274951989582531,-1,0.017543859649122806,0.0,0.0,5.0,0.025,12,2259.506572008133,3
64,8494.0,64,242.0,6.140495867768595,-0.0068594606987077535,-1,0.3965517241379311,0.0,0.005747126436781609,5.0,0.025,12,2259.506572008133,3
65,8479.0,65,308.0,5.6103896103896105,-0.02784251481266014,-1,0.2727272727272727,0.0,0.0,5.0,0.025,12,2259.506572008133,3
66,8474.0,66,323.0,6.303405572755418,-0.040499185517586266,-1,0.048701298701298704,0.0,0.0,5.0,0.025,12,2259.506572008133,3
67,8493.0,67,337.0,7.0,-0.02265598239269561,-1,0.04334365325077401,0.0,0.0,5.0,0.025,12,2259.506572008133,3
68,8487.0,68,346.0,7.791907514450867,-0.002484528843183151,-1,0.02670623145400593,0.0,0.0,5.0,0.025,12,2259.506572008133,3
69,8766.0,69,451.0,6.745011086474501,-0.0077805632660987705,-1,0.30346820809248554,0.0,0.0,5.0,0.025,12,2259.506572008133,3
70,8740.0,70,616.0,5.670454545454546,-0.0226598493376888,-1,0.36585365853658536,0.0,0.0,5.0,0.025,12,2259.506572008133,3
71,8728.0,71,640.0,6.4203125,-0.04118481156073418,-1,0.03896103896103896,0.0,0.0,5.0,0.025,12,2259.506572008133,3
72,8737.0,72,674.0,7.045994065281899,-0.028262062310496182,-1,0.053125,0.0,0.0,5.0,0.025,12,2259.506572008133,3
73,8716.0,73,688.0,7.882267441860465,-0.0029519483976667192,-1,0.020771513353115733,0.0,0.0,5.0,0.025,12,2259.506572008133,3
74,8924.0,74,869.0,7.032220943613349,-0.006546943673417911,-1,0.26308139534883723,0.0,0.0,5.0,0.025,12,2259.506572008133,3
75,8848.0,75,1166.0,5.986277873070326,-0.02130524967657913,-1,0.34177215189873417,0.0,0.0,5.0,0.025,12,2259.506572008133,3
76,8809.0,76,1274.0,6.39403453689168,-0.037201161620138194,-1,0.09262435677530018,0.0,0.0,5.0,0.025,12,2259.506572008133,3
77,8776.0,77,1334.0,7.061469265367316,-0.030374784611451582,-1,0.04709576138147567,0.0,0.0,5.0,0.025,12,2259.506572008133,3
78,8709.0,78,1373.0,7.832483612527312,-0.0071713920118533815,-1,0.029235382308845582,0.0,0.0,5.0,0.025,12,2259.506572008133,3
79,8812.0,79,1663.0,7.292242934455802,-0.005752772169722554,-1,0.2112163146394756,0.0,0.0,5.0,0.025,12,2259.506572008133,3
80,8763.0,80,2252.0,6.123445825932505,-0.01906072505539071,-1,0.35417919422730004,0.0,0.0,5.0,0.025,12,2259.506572008133,3
81,8605.0,81,2517.0,6.373460468812077,-0.03630718785870636,-1,0.11767317939609236,0.0,0.0,5.0,0.025,12,2259.506572008133,3
82,8392.0,82,2639.0,7.0325881015536185,-0.03274266236403586,-1,0.04847040127135479,0.0,0.0,5.0,0.025,12,2259.506572008133,3
83,8128.0,83,2718.0,7.799116997792495,-0.011558181177237841,-1,0.029935581659719587,0.0,0.0,5.0,0.025,12,2259.506572008133,3
84,7860.0,84,3165.0,7.556398104265402,-0.006867955657908367,-1,0.16445916114790288,0.0,0.0,5.0,0.025,12,2259.506572008133,3
85,7401.0,85,4114.0,6.577540106951871,-0.02074538790584383,-1,0.3001579778830964,0.0,0.000315955766192733,5.0,0.025,12,2259.506572008133,3
86,6776.0,86,4690.0,6.643496801705758,-0.04380308253580981,-1,0.14049586776859505,0.0,0.00048614487117160907,5.0,0.025,12,2259.506572008133,3
87,6106.0,87,4903.0,7.31001427697328,-0.04835903090571754,-1,0.04562899786780384,0.0,0.00021321961620469082,5.0,0.025,12,2259.506572008133,3
88,5404.0,88,5000.0,8.1106,-0.03667149399711775,-1,0.03222516826432796,0.0,0.012441362431164593,5.0,0.025,12,2259.506572008133,3
89,4695.0,89,5000.0,8.6798,-0.030903290931715743,-1,0.0768,0.0,0.0768,5.0,0.025,12,2259.506572008133,3
90,4088.0,90,5000.0,8.732000000000001,-0.04204623409490898,-1,0.1412,0.0,0.1412,5.0,0.025,12,2259.506572008133,3
91,3508.0,91,5000.0,8.6956,-0.05387892689437857,-1,0.0884,0.0,0.0884,5.0,0.025,12,2259.506572008133,3
92,3001.0,92,4999.0,9.034206841368274,-0.0595949620892988,-1,0.0378,0.0,0.038,5.0,0.025,12,2259.506572008133,3
93,2520.0,93,4975.0,9.647236180904523,-0.05727584229315605,-1,0.02220444088817764,0.0,0.027005401080216044,5.0,0.025,12,2259.506572008133,3
94,2090.0,94,4967.0,10.201731427420981,-0.054545102332619694,-1,0.03537688442211055,0.0,0.036984924623115575,5.0,0.025,12,2259.506572008133,3
95,1772.0,95,4985.0,10.398194583751254,-0.055396505244342836,-1,0.05979464465472116,0.0,0.05617072679685927,5.0,0.025,12,2259.506572008133,3
