,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
55,1622.0,55,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
56,1795.0,56,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
57,1903.0,57,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
58,1925.0,58,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
59,1928.0,59,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
60,1928.0,60,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
61,1928.0,61,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
62,2126.0,62,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
63,2346.0,63,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
64,2545.0,64,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
65,2627.0,65,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
66,2639.0,66,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
67,2641.0,67,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
68,2641.0,68,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
69,2731.0,69,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
70,3013.0,70,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
71,3288.0,71,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
72,3483.0,72,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
73,3536.0,73,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
74,3544.0,74,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
75,3545.0,75,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
76,3545.0,76,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
77,3764.0,77,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
78,4094.0,78,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
79,4411.0,79,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
80,4560.0,80,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
81,4586.0,81,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
82,4588.0,82,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
83,4588.0,83,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
84,4658.0,84,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
85,5019.0,85,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
86,5341.0,86,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
87,5615.0,87,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
88,5726.0,88,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
89,5739.0,89,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
90,5742.0,90,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
91,5742.0,91,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
92,5976.0,92,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
93,6393.0,93,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
94,6738.0,94,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
95,6964.0,95,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
96,7024.0,96,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
97,7033.0,97,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
98,7035.0,98,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
99,7108.0,99,20.0,1.0,0.04121751650683607,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
100,7488.0,100,20.0,2.0,0.041217516506836055,0.8935708159492113,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
101,7921.0,101,20.0,3.0,0.04121751650683607,0.9077057803109392,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
102,8295.0,102,20.0,4.0,0.04121751650683607,0.9188714458755318,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
