,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
0,50.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
1,80.0,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
2,110.0,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
3,110.0,3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
4,110.0,4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
5,110.0,5,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
6,110.0,6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
7,110.0,7,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
8,110.0,8,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
9,140.0,9,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
10,156.0,10,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
11,169.0,11,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
12,169.0,12,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
13,169.0,13,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
14,169.0,14,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
15,169.0,15,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
16,169.0,16,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
17,212.0,17,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
18,236.0,18,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
19,263.0,19,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
20,263.0,20,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
21,263.0,21,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
22,263.0,22,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
23,263.0,23,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
24,311.0,24,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
25,365.0,25,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
26,406.0,26,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
27,424.0,27,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
28,424.0,28,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
29,424.0,29,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
30,424.0,30,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
31,424.0,31,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
32,517.0,32,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
33,585.0,33,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
34,644.0,34,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
35,653.0,35,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
36,653.0,36,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
37,653.0,37,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
38,653.0,38,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
39,713.0,39,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
40,828.0,40,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
41,916.0,41,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
42,970.0,42,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
43,973.0,43,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
44,973.0,44,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
45,973.0,45,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
46,973.0,46,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
47,1126.0,47,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
48,1240.0,48,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
49,1343.0,49,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
50,1378.0,50,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
51,1379.0,51,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
52,1379.0,52,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
53,1379.0,53,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
54,1452.0,54,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
55,1670.0,55,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
56,1821.0,56,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
57,1931.0,57,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
58,1952.0,58,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
59,1952.0,59,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
60,1952.0,60,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
61,1952.0,61,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,17559.126484394073,7,100.0,20
